,variety,year,week,day,lq,mean,uq,region,rpin
0,gala,16,-2,-17,35.27,37.809466666666665,40.31,Hastings,All
1,gala,16,-2,-17,35.519999999999996,37.63456000000001,39.6875,Hastings,R1470
2,gala,16,-2,-17,33.56,35.89056,38.1325,Hastings,R1463
3,gala,16,-2,-17,37.7925,39.90328,41.7975,Hastings,R1462
4,gala,16,2,11,47.1025,50.357954285714285,53.66,Hastings,All
5,gala,16,2,11,48.37,51.036,53.6375,Hastings,R1470
6,gala,16,2,11,50.519999999999996,53.20128,55.5925,Hastings,R1474
7,gala,16,2,11,52.644999999999996,54.68708,56.9275,Hastings,R1462
8,gala,16,2,11,46.5925,48.904,51.315,Hastings,R1463
9,gala,16,2,12,44.36,46.820660000000004,49.082499999999996,Hastings,R1468
10,gala,16,3,19,48.4,50.717967806841045,52.92,Hastings,All
11,gala,16,3,19,48.4,50.717967806841045,52.92,Hastings,R1468
12,gala,16,4,25,52.96,56.361206206206205,59.83,Hastings,All
13,gala,16,4,25,57.525,60.024440000000006,62.6725,Hastings,R1462
14,gala,16,4,25,53.519999999999996,56.36290581162324,59.525,Hastings,R1470
15,gala,16,4,25,56.295,58.801402805611225,61.315,Hastings,R1474
16,gala,16,4,25,52.25,55.19464,58.205,Hastings,R1463
17,gala,16,4,26,50.1275,52.67586,55.052499999999995,Hastings,R1468
18,gala,16,5,32,55.58,59.17254722381225,62.56,Hastings,All
19,gala,16,5,32,58.88,61.58343373493976,64.5025,Hastings,R1474
20,gala,16,5,32,54.9825,57.80988000000001,60.5475,Hastings,R1470
21,gala,16,5,32,54.425,57.78504,60.69,Hastings,R1463
22,gala,16,5,32,60.48,63.285140562249,66.31,Hastings,R1462
23,gala,16,5,33,53.6425,56.098319999999994,58.89,Hastings,R1468
24,gala,16,6,40,58.8,62.20016571428571,65.505,Hastings,All
25,gala,16,6,40,61.94,64.64824,67.7025,Hastings,R1474
26,gala,16,6,40,57.0125,60.1472,63.2775,Hastings,R1470
27,gala,16,6,40,57.2275,60.5956,63.9025,Hastings,R1463
28,gala,16,6,40,63.457499999999996,65.89811999999999,68.57,Hastings,R1462
29,gala,16,6,41,57.15,59.731880000000004,62.332499999999996,Hastings,R1468
30,gala,16,7,46,60.45,63.962616308154075,67.38,Hastings,All
31,gala,16,7,46,60.14,63.50531062124249,66.725,Hastings,R1470
32,gala,16,7,46,64.0,66.76848,69.6,Hastings,R1474
33,gala,16,7,46,64.0975,66.41968,69.0775,Hastings,R1462
34,gala,16,7,46,59.43,62.74564,66.095,Hastings,R1463
35,gala,16,7,47,58.335,60.993100000000005,63.69,Hastings,R1468
36,gala,16,8,53,63.73,67.4141504576659,71.1225,Hastings,All
37,gala,16,8,53,66.6625,69.05212000000002,71.89,Hastings,R1462
38,gala,16,8,53,59.93,63.279560000000004,66.1275,Hastings,R1463
39,gala,16,8,53,61.475,65.23176352705411,68.905,Hastings,R1470
40,gala,16,8,53,66.48,69.45967951927891,72.61,Hastings,R1474
41,gala,16,8,54,59.84,62.67064,65.63,Hastings,R1468
42,gala,16,9,60,63.05,66.680888,70.3675,Hastings,All
43,gala,16,9,60,61.89,66.19818000000001,70.205,Hastings,R1470
44,gala,16,9,60,67.4325,70.01292000000001,73.125,Hastings,R1462
45,gala,16,9,63,62.3175,65.49758,68.32249999999999,Hastings,R1468
46,gala,16,10,67,64.37,67.76405073431242,71.21,Hastings,All
47,gala,16,10,67,64.37,68.038289532294,71.83,Hastings,R1470
48,gala,16,10,67,62.9925,66.78872,70.14500000000001,Hastings,R1463
49,gala,16,10,68,64.71249999999999,67.46658400000001,70.44,Hastings,R1468
50,gala,16,11,75,64.07,67.095,70.1375,Hastings,All
51,gala,16,11,75,64.07,67.095,70.1375,Hastings,R1468
52,gala,16,2,12,44.36,46.820660000000004,49.082499999999996,CHB,All
53,gala,16,2,12,44.36,46.820660000000004,49.082499999999996,CHB,R1468
54,gala,16,3,19,48.4,50.717967806841045,52.92,CHB,All
55,gala,16,3,19,48.4,50.717967806841045,52.92,CHB,R1468
56,gala,16,4,26,50.1275,52.67586,55.052499999999995,CHB,All
57,gala,16,4,26,50.1275,52.67586,55.052499999999995,CHB,R1468
58,gala,16,5,33,53.6425,56.098319999999994,58.89,CHB,All
59,gala,16,5,33,53.6425,56.098319999999994,58.89,CHB,R1468
60,gala,16,6,41,57.15,59.731880000000004,62.332499999999996,CHB,All
61,gala,16,6,41,57.15,59.731880000000004,62.332499999999996,CHB,R1468
62,gala,16,7,47,58.335,60.993100000000005,63.69,CHB,All
63,gala,16,7,47,58.335,60.993100000000005,63.69,CHB,R1468
64,gala,16,8,54,59.84,62.67064,65.63,CHB,All
65,gala,16,8,54,59.84,62.67064,65.63,CHB,R1468
66,gala,16,9,63,62.3175,65.49758,68.32249999999999,CHB,All
67,gala,16,9,63,62.3175,65.49758,68.32249999999999,CHB,R1468
68,gala,16,10,68,64.71249999999999,67.46658400000001,70.44,CHB,All
69,gala,16,10,68,64.71249999999999,67.46658400000001,70.44,CHB,R1468
70,gala,16,11,75,64.07,67.095,70.1375,CHB,All
71,gala,16,11,75,64.07,67.095,70.1375,CHB,R1468
72,gala,16,-2,-17,35.27,37.809466666666665,40.31,All,All
73,gala,16,-2,-17,35.519999999999996,37.63456000000001,39.6875,All,R1470
74,gala,16,-2,-17,33.56,35.89056,38.1325,All,R1463
75,gala,16,-2,-17,37.7925,39.90328,41.7975,All,R1462
76,gala,16,2,11,47.1025,50.357954285714285,53.66,All,All
77,gala,16,2,11,48.37,51.036,53.6375,All,R1470
78,gala,16,2,11,50.519999999999996,53.20128,55.5925,All,R1474
79,gala,16,2,11,52.644999999999996,54.68708,56.9275,All,R1462
80,gala,16,2,11,46.5925,48.904,51.315,All,R1463
81,gala,16,2,12,44.36,46.820660000000004,49.082499999999996,All,R1468
82,gala,16,3,19,48.4,50.717967806841045,52.92,All,All
83,gala,16,3,19,48.4,50.717967806841045,52.92,All,R1468
84,gala,16,4,25,52.96,56.361206206206205,59.83,All,All
85,gala,16,4,25,57.525,60.024440000000006,62.6725,All,R1462
86,gala,16,4,25,53.519999999999996,56.36290581162324,59.525,All,R1470
87,gala,16,4,25,56.295,58.801402805611225,61.315,All,R1474
88,gala,16,4,25,52.25,55.19464,58.205,All,R1463
89,gala,16,4,26,50.1275,52.67586,55.052499999999995,All,R1468
90,gala,16,5,32,55.58,59.17254722381225,62.56,All,All
91,gala,16,5,32,58.88,61.58343373493976,64.5025,All,R1474
92,gala,16,5,32,54.9825,57.80988000000001,60.5475,All,R1470
93,gala,16,5,32,54.425,57.78504,60.69,All,R1463
94,gala,16,5,32,60.48,63.285140562249,66.31,All,R1462
95,gala,16,5,33,53.6425,56.098319999999994,58.89,All,R1468
96,gala,16,6,40,58.8,62.20016571428571,65.505,All,All
97,gala,16,6,40,61.94,64.64824,67.7025,All,R1474
98,gala,16,6,40,57.0125,60.1472,63.2775,All,R1470
99,gala,16,6,40,57.2275,60.5956,63.9025,All,R1463
100,gala,16,6,40,63.457499999999996,65.89811999999999,68.57,All,R1462
101,gala,16,6,41,57.15,59.731880000000004,62.332499999999996,All,R1468
102,gala,16,7,46,60.45,63.962616308154075,67.38,All,All
103,gala,16,7,46,60.14,63.50531062124249,66.725,All,R1470
104,gala,16,7,46,64.0,66.76848,69.6,All,R1474
105,gala,16,7,46,64.0975,66.41968,69.0775,All,R1462
106,gala,16,7,46,59.43,62.74564,66.095,All,R1463
107,gala,16,7,47,58.335,60.993100000000005,63.69,All,R1468
108,gala,16,8,53,63.73,67.4141504576659,71.1225,All,All
109,gala,16,8,53,66.6625,69.05212000000002,71.89,All,R1462
110,gala,16,8,53,59.93,63.279560000000004,66.1275,All,R1463
111,gala,16,8,53,61.475,65.23176352705411,68.905,All,R1470
112,gala,16,8,53,66.48,69.45967951927891,72.61,All,R1474
